areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price
1,750.0,30,Ready to Move,1 out of 4,Semi-Furnished,North - East,2722.0,2450000.0
1,211.0,30,Ready to Move,2 out of 4,> 10,,9611.0,3950000.0
1,800.0,30,Ready to Move,8 out of 8,Furnished,Freehold,2719.0,3200000.0
1,1326.0,30,Ready to Move,3 out of 9,Semi-Furnished,East,3333.0,5000000.0
4,1250.0,30,Ready to Move,11 out of 12,Semi-Furnished,East,3280.0,4100000.0
4,1235.0,30,Ready to Move,1 out of 2,Unfurnished,South -West,3239.0,4000000.0
4,970.0,30,Ready to Move,3 out of 5,Furnished,East,3918.0,3800000.0
4,1260.0,6,Resale,Unfurnished,1,,2778.0,3500000.0
4,785.0,30,Ready to Move,2 out of 4,Semi-Furnished,1,4076.0,3200000.0
1,650.0,30,Ready to Move,9 out of 13,Furnished,South -West,3814.0,4500000.0
4,200.0,30,Ready to Move,2 out of 3,1,,10000.0,2000000.0
4,456.0,30,Ready to Move,1 out of 1,Furnished,2,9430.0,4300000.0
4,1000.0,30,Ready to Move,5 out of 5,Unfurnished,North - West,3500.0,3500000.0
4,480.0,30,Ready to Move,1 out of 4,Unfurnished,1,1979.0,950000.0
1,1058.0,30,Ready to Move,1 out of 7,Furnished,South,3214.0,3400000.0
4,1203.0,30,Ready to Move,6 out of 12,Unfurnished,East,3832.0,4610000.0
1,625.0,30,Ready to Move,3 out of 3,Unfurnished,2,7564.0,5000000.0
1,575.0,30,Ready to Move,3 out of 10,Semi-Furnished,East,2667.0,2000000.0
4,1200.0,30,Ready to Move,7 out of 14,Unfurnished,East,3750.0,4500000.0
1,1050.0,30,Ready to Move,2 out of 12,Furnished,East,3477.0,3650000.0
1,1450.0,30,Ready to Move,Ground out of 1,Unfurnished,East,2118.0,3600000.0
4,1500.0,30,Ready to Move,4 out of 5,Semi-Furnished,2,3333.0,5000000.0
4,1251.0,30,Ready to Move,8 out of 13,Unfurnished,Main Road,3437.0,4300000.0
4,900.0,30,Ready to Move,Ground out of 2,Unfurnished,2,3111.0,2800000.0
1,695.0,30,Ready to Move,3 out of 4,Furnished,South - East,3022.0,2100000.0
4,480.0,35,Ready to Move,Resale,1,,1875.0,900000.0
4,630.0,30,Ready to Move,4 out of 5,Unfurnished,East,2381.0,1500000.0
4,482.0,38,Ready to Move,Resale,,,7261.0,3500000.0
4,650.0,30,Ready to Move,4 out of 5,Unfurnished,2,5385.0,3500000.0
4,1190.0,30,Ready to Move,11 out of 11,Furnished,East,3613.0,4300000.0
1,180.0,30,Ready to Move,Ground out of 1,2,,3947.0,1420000.0
4,824.0,32,Ready to Move,Resale,,,3641.0,3000000.0
1,700.0,30,Ready to Move,13 out of 14,Semi-Furnished,Shyam enclave,3200.0,4000000.0
1,110.0,30,Ready to Move,Ground out of 4,,,16832.0,3400000.0
4,350.0,30,Ready to Move,4 out of 5,Unfurnished,1,2571.0,900000.0
1,750.0,23,Ready to Move,9 out of 14,Unfurnished,2,3800.0,4750000.0
1,900.0,30,Ready to Move,1 out of 1,Semi-Furnished,East,,4000000.0
4,550.0,30,Ready to Move,3 out of 4,Unfurnished,1,1682.0,930000.0
4,1000.0,30,Ready to Move,1 out of 5,1,,3500.0,3500000.0
4,1170.0,30,Ready to Move,4 out of 6,Semi-Furnished,Rajhans Platinum,3675.0,4300000.0
4,500.0,30,Ready to Move,2 out of 7,Unfurnished,1,4400.0,2200000.0
4,1300.0,30,Ready to Move,3 out of 6,Unfurnished,Vitthal Bunglows,1615.0,2100000.0
1,350.0,30,Ready to Move,1 out of 3,Unfurnished,1,,1200000.0
1,855.0,30,Ready to Move,3 out of 4,Semi-Furnished,West,2527.0,3000000.0
4,1075.0,30,Ready to Move,6 out of 10,Semi-Furnished,East,2512.0,2700000.0
1,187.0,30,Ready to Move,1 out of 4,1,,8021.0,1500000.0
5,,38,2,1,,,,1200000.0
4,925.0,30,Ready to Move,3 out of 4,Semi-Furnished,1,2486.0,2300000.0
1,12.0,35,3 out of 3,Resale,2,2,33333.0,500000.0
1,800.0,30,Ready to Move,8 out of 13,Furnished,North,4091.0,4500000.0
4,1275.0,30,Ready to Move,13 out of 13,Furnished,1 Open,3608.0,4600000.0
2,1685.0,30,52.5 X 32.1,Freehold,1,Garden/Park,2077.0,3500000.0
1,387.5004,30,Ready to Move,2 out of 13,Unfurnished,North - East,3889.0,1800000.0
1,450.0,23,Ready to Move,3 out of 4,1,,4556.0,4100000.0
