facing,price_per_sqft,BHK,Location,area_type,area_sqft,transaction_type,ready_to_move,furnishing_level,price_rs
0,2571.0,1.0,Kailash Nagar Surat,2,700.0,0,0,0,1800000.0
12,3911.0,2.0,shree bharti residency Surat,1,800.0,2,1,0,4200000.0
83,2750.0,1.0,Punagam Surat,1,400.0,2,1,1,1100000.0
12,3360.0,2.0,Jahangir Pura Surat,2,1250.0,2,1,0,4200000.0
12,2056.0,2.0,allpar Surat,2,900.0,2,1,0,1850000.0
12,2556.0,2.0,Udhna Amrut Nagar Society Surat,2,900.0,2,1,1,2300000.0
12,2473.0,2.0,Parimal park Surat,2,910.0,2,1,0,2250000.0
19,3226.0,3.0,Sachin Surat,2,1550.0,2,1,1,5000000.0
12,2404.0,2.0,Adajan Surat,2,1040.0,2,1,0,2500000.0
97,2671.0,2.0,Sardar Complex behind Sarswati School Surat,1,680.0,2,1,1,2300000.0
56,97222.0,2.0,shiv banglow olpad Surat,1,20.0,0,1,0,3500000.0
0,2872.0,1.0,Smc suman sagar Surat,2,540.0,2,1,0,1550000.0
12,4000.0,2.0,Sukruti Apartment  Muktanand Nagar Surat,2,1000.0,2,1,0,4000000.0
54,2956.0,2.0,Palanpur Gam Surat,2,1218.0,2,1,1,3600000.0
97,2853.0,1.0,Pal Road Surat,1,480.0,2,1,1,2510000.0
12,4200.0,4.0,Bardoli Surat,2,1000.0,2,1,0,4200000.0
-1,2502.0,2.0,Olpad Sayan Road Surat,2,1319.0,0,1,0,3300000.0
